Author,Title,Publication Year
Kate Atkinson,Shrines of Gaiety,2022
Kate Atkinson,Transcription,2018
Kate Atkinson,Big Sky,2019
Kate Atkinson,Emotionally Weird,2000
Kate Atkinson,One Good Turn,2006
Kate Atkinson,Case Histories,2004
Tracy Chevalier,Falling Angels,2001
Tracy Chevalier,The Virgin Blue,1999
Tracy Chevalier,At the Edge of the Orchard,2016
Tracy Chevalier,The Last Runaway,2013
Tracy Chevalier,A Single Thread,2019
Tracy Chevalier,Remarkable Creatures,2009
Isabel Allende,The House of the Spirits,1982
Isabel Allende,Maya’s Notebook,2011
Isabel Allende,The Infinite Plan,1991
Isabel Allende,Of Love and Shadows,1984
Isabel Allende,Eva Luna,1987
Isabel Allende,The Japanese Lover,2015
Isabel Allende,Ines of My Soul,2006
Isabel Allende,The Sum of Our Days,2008
Isabel Allende,Island Beneath the Sea,2009
Isabel Allende,A Long Petal of the Sea,2019
Isabel Allende,Ripper,2013
Barbara Kingsolver,The Lacuna,2009
Barbara Kingsolver,Flight Behavior,2012
Barbara Kingsolver,Unsheltered,2018
Barbara Kingsolver,Animal Dreams,1990
Barbara Kingsolver,The Bean Trees,1988
Joanne Harris,Chocolat,1999
Joanne Harris,Five Quarters of the Orange,2002
Joanne Harris,The Lollipop Shoes,2007
Joanne Harris,A Narrow Door,2021
Joanne Harris,The Strawberry Thief,2019
Joanne Harris,Runelight,2016
Joanne Harris,Runemarks,2007
Victoria Hislop,The Island,2005
Victoria Hislop,The Thread,2011
Victoria Hislop,The Sunrise,2014
Victoria Hislop,Those Who Are Loved,2019
Victoria Hislop,One August Night,2021
Victoria Hislop,The Figurine,2023
